Sample ,Sample Type,Reference,Gly,D&L-Ser,D&L-Ala,D&L-Asp,D&L-Glu,D&L-valine,Type,EE=1 means fully racemic
Bishunpur Meteorite,LL,Chan et al. 2012,0.34,0,0.12,0.06,0.25,0.22,AC_High,Average EE = 0.58
NWA 5956 Meteorite,CK3,Burton et al. 2015,0.28,0.17,0.16,0.1,0.27,0.03,AC_High,Average EE = 0.6
LAR 04318 Meteorite,CK4,Burton et al. 2015,0.29,0.3,0.18,0.09,0.06,0.08,AC_High,Average EE = 0.4
ALH 85002 Meteorite,CK4,Burton et al. 2015,0.29,0.32,0.16,0.09,0.07,0.07,AC_High,Average EE = 0.4
PCA 82500 Meteorite,CK4/5,Burton et al. 2015,0.42,0.18,0.1,0.09,0.16,0.06,AC_High,Average EE = 0.4
EET 92002 Meteorite,CK5,Burton et al. 2015,0.48,0.07,0.09,0.06,0.23,0.06,AC_High,Average EE = 0.4
LEW 87009 Meteorite,CK6,Burton et al. 2015,0.73,0.04,0.02,0.05,0.15,0.02,AC_High,Average EE = 0.5
LAR 06872 Meteorite,CK6,Burton et al. 2015,0.44,0.25,0.1,0.07,0.06,0.08,AC_High,Average EE = 0.3
ALH 85085 Meteorite,CH3,Burton et al. 2013,0.48,0.03,0.19,0.04,0.22,0.05,AC_High,EE low in 4 AA
PCA 91467 Meteorite,CH3,Burton et al. 2013,0.71,0.02,0.07,0.05,0.12,0.02,AC_High,EE low in 4 AA
PAT 91546 Meteorite,CH3,Burton et al. 2013,0.7,0.03,0.09,0.05,0.12,0.01,AC_High,EE low in 3 AA
BJURBOLE Meteorite,CH3,Kaplan et al 1963,0.5,0.17,0.2,0.03,0.1,0,AC_High,EE not measured 
MIL 05082 Meteorite,CB,Burton et al. 2013,0.63,0.02,0.19,0.06,0.07,0.02,AC_Low,Average EE = 0.86 but Ser =0.4; Glu=0.7; Avl =0.5
MIL 07411 Meteorite,CB,Burton et al. 2013,0.33,0.06,0.22,0.1,0.22,0.06,AC_High,EE low in most AA
MAC 02675 Meteorite,CB,Burton et al. 2013,0.25,0.18,0.09,0.11,0.32,0.06,AC_High,Average EE = 0.5
RICHARDTON Meteorite,CB,Kaplan et al 1963,0.29,0.28,0.13,0.13,0.11,0.05,AC_High,EE not measured 
LAP 03834 Meteorite,R3,Burton et al. 2015,0.3,0.3,0.16,0.09,0.07,0.07,AC_High,EE low in most AA
Colony Meteorite,CO,Chan et al. 2012,0.43,0,0.15,0.07,0.24,0.11,AC_High,Average EE = 0.32
Ornans Meteorite,CO,Chan et al. 2012,0.43,0,0.1,0.04,0.24,0.2,AC_High,Average EE = 0.5
Karoonda Meteorite,CO,Kaplan et al 1963,0.24,0.33,0.17,0.11,0.14,0,AC_High,EE not measured 
Almahata Sitta Meteorite,Ureilite,Glavin et al 2006,0.6,0.02,0.19,0.07,0.1,0.02,AC_High,EE low in 3 AA
Norvato Meteorite,L6 (Light),Jenniskens et al 2014,0.17,0.19,0.06,0.14,0.37,0.07,AC_High,Average EE = 0.2
Norvato Meteorite,L6 (Dark),Jenniskens et al 2014,0.12,0.22,0.09,0.12,0.4,0.04,AC_High,Average EE = 0.2
Abee Meteorite,CE,Kaplan et al 1963,0.35,0.25,0.12,0.08,0.2,0,AC_High,EE not measured 
Norton County Meteorite,CE,Kaplan et al 1963,0.2,0.31,0.14,0.14,0.18,0.04,AC_High,EE not measured 
Hvittis Meteorite,CE,Kaplan et al 1963,0.06,0.61,0.29,0.02,0.02,0.01,AC_High,EE not measured 
Bennu,Asteroid,Glavin et al 2024,0.81,0.01,0.13,0.04,0,0,AP,
Ryugu,Asteroid,Parker et al 2023,0.63,0.2,0.06,0.1,0.01,0,AP,
Ryugu,Asteroid,Parker et al 2023,0.62,0.32,0.03,0.03,0,0,AP,
Ryugu,Asteroid,Parker et al 2023,0.76,0,0.21,0.03,0,0,AP,
Ryugu,Asteroid,Parker et al 2023,0.48,0.31,0.17,0.03,0,0,AP,
Titan analog,Tholin,Cleaves et al.,0.86,0.01,0.05,0.06,0.02,0,AP,
Titan analog,Tholin,Cleaves et al.,0.67,0.02,0.2,0.05,0.07,0,AP,
Titan analog,Tholin,Cleaves et al.,0.86,0.01,0.08,0.03,0.03,0,AP,
Titan analog,Tholin,Khare and Sagan,0.57,0.13,0.16,0.12,0.02,0,AP,
Triton analog,Tholin,McDonald et al. 1994,0.71,0,0.09,0.15,0.05,0,AP,
Lab analog,Hydrothermal,Hennet et al. 1992,0.97,0,0,0.02,0,0,AP,
Lab analog,Hydrothermal,Hennet et al. 1992,0.98,0.01,0,0.01,0,0,AP,
Lab analog,Hydrothermal,Hennet et al. 1992,0.96,0,0.01,0.03,0.01,0,AP,
Lab analog,Hydrothermal,Hennet et al. 1992,0.92,0.01,0.02,0.04,0.01,0,AP,
Lab analog,Hydrothermal,Hennet et al. 1992,0.95,0,0.01,0.04,0.01,0,AP,
